Fucion M = min (female, male)
Poblacion_Inicial Lambda Gen_Media_Incesto
10 1.5 2.31
10 2 2.34
10 2.5 2.38
10 3 2.3
10 3.5 2.27
10 4 2.19
20 1.5 2.65
20 2 2.46
20 2.5 2.38
20 3 2.33
20 3.5 2.22
20 4 2.18
30 1.5 2.76
30 2 2.52
30 2.5 2.32
30 3 2.25
30 3.5 2.15
30 4 2.22
40 1.5 2.86
40 2 2.48
40 2.5 2.43
40 3 2.28
40 3.5 2.18
40 4 2.23
50 1.5 2.7
50 2 2.37
50 2.5 2.33
50 3 2.23
50 3.5 2.19
50 4 2.16
60 1.5 2.63
60 2 2.5
60 2.5 2.38
60 3 2.24
60 3.5 2.19
60 4 2.17
